Continent;;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AS;AS;AS;AS;AS;AS;AS;AS;;AS;AS;;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;;AS;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;OC;;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non-State;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AS;;;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country;;Algeria;Angola;Benin;Botswana;Burkina Faso;Burundi;Cameroon;Cape Verde ;Central African Republic;Chad;Comoros;Congo;Côte d'Ivoire;Democratic Republic of Congo;Djibouti;Egypt;Equatorial Guinea;Eritrea;Ethiopia;Gabon;Gambia;Ghana;Guinea;Guinea-Bissau;Kenya;Lesotho;Liberia;Libya;Madagascar;Malawi;Mali;Mauritania;Mauritius;Morocco;Mozambique;Namibia;Niger;Nigeria;Rwanda;São Tome & Principe;Senegal;Seychelles;Sierra Leone;Somalia;South Africa ;South Sudan;Sudan;Swaziland;Tanzania;Togo;Tunisia;Uganda;Zambia;Zimbabwe;Afghanistan;Bahrain;Bangladesh;Bhutan;Brunei Darussalam;Cambodia;China;East Timor ;Gaza (in the Occupied Palestinian Territory);India;Indonesia (most);South Sumatra and Aceh Provinces (Indonesia);Iraq;Iran;Israel ;Japan ;Jordan ;Kazakhstan ;Kuwait;Kyrgyzstan ;Laos;Lebanon;Malaysia;Maldives;Mongolia ;Myanmar;Nepal ;North Korea;Oman;Pakistan;Philippines;Qatar;Saudi Arabia;Singapore;South Korea;Sri Lanka;Syria;Taiwan;Tajikistan ;Thailand ;Turkmenistan;Vietnam;United Arab Emirates;Uzbekistan;West Bank in the Occupied Palestinian Territory;Yemen;Albania ;Andorra ;Armenia ;Austria ;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;Greece ;Hungary ;Iceland ;Ireland;Italy ;Kosovo ;Latvia ;Liechtenstein ;Lithuania ;Luxembourg ;Macedonia (FYROM) ;Malta ;Moldova ;Monaco ;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia;San Marino ;Serbia ;Slovakia ;Slovenia ;Spain;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom (and associates);Antigua and Barbuda;Argentina ;Bahamas ;Barbados;Belize;Bolivia;Brazil;Costa Rica ;Chile ;Colombia ;Cuba ;Dominica;Dominican Republic ;Ecuador ;El Salvador ;Grenada;Guatemala ;Guyana;Haiti ;Honduras ;Jamaica;Mexico ;Nicaragua ;Panama ;Paraguay;Peru ;St Kitts & Nevis;St Lucia;St Vincent & the Grenadines;Suriname ;Trinidad and Tobago;Uruguay ;Venezuela;Canada;United States;Australia;Cook Islands (associates to New Zealand);Fiji ;Kiribati;Marshall Islands;Micronesia;New Zealand ;Nauru;Palau ;Papua New Guinea;Samoa;Solomon Islands;Tonga;Tuvalu;Vanuatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Legal;All genders;;;Benin;;Burkina Faso;;;Cape Verde ;Central African Republic;Chad;;Congo;Côte d'Ivoire;Democratic Republic of Congo;Djibouti;Egypt;Equatorial Guinea;;;Gabon;;;;Guinea-Bissau;;Lesotho;;;Madagascar;;Mali;;;;Mozambique;;Niger;;Rwanda;São Tome & Principe;;Seychelles;;;South Africa ;;;;;;;;;;;Bahrain;;;;Cambodia;China;East Timor ;;;Indonesia (most);;;;Israel ;Japan ;Jordan ;Kazakhstan ;;Kyrgyzstan ;Laos;;;;Mongolia ;;Nepal ;North Korea;;;Philippines;;;;South Korea;;;Taiwan;Tajikistan ;Thailand ;;Vietnam;;;West Bank in the Occupied Palestinian Territory;;Albania ;Andorra ;Armenia ;Austria ;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;Greece ;Hungary ;Iceland ;Ireland;Italy ;Kosovo ;Latvia ;Liechtenstein ;Lithuania ;Luxembourg ;Macedonia (FYROM) ;Malta ;Moldova ;Monaco ;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia;San Marino ;Serbia ;Slovakia ;Slovenia ;Spain;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom (and associates);;Argentina ;Bahamas ;;Belize;Bolivia;Brazil;Costa Rica ;Chile ;Colombia ;Cuba ;;Dominican Republic ;Ecuador ;El Salvador ;;Guatemala ;;Haiti ;Honduras ;;Mexico ;Nicaragua ;Panama ;Paraguay;Peru ;;;;Suriname ;;Uruguay ;Venezuela;Canada;United States;Australia;;Fiji ;;Marshall Islands;Micronesia;New Zealand ;Nauru;Palau ;;;;;;Vanuatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age of consent;Equal;;;;;Burkina Faso;;;Cape Verde ;Central African Republic;;;;;Democratic Republic of Congo;Djibouti;Egypt;Equatorial Guinea;;;;;;;Guinea-Bissau;;Lesotho;;;;;Mali;;;;Mozambique;;;;;São Tome & Principe;;Seychelles;;;South Africa ;;;;;;;;;;;;;;;Cambodia;China;East Timor ;;;;;;;Israel ;Japan ;Jordan ;Kazakhstan ;;Kyrgyzstan ;Laos;;;;Mongolia ;;Nepal ;North Korea;;;Philippines;;;;South Korea;;;Taiwan;Tajikistan ;Thailand ;;Vietnam;;;West Bank in the Occupied Palestinian Territory;;Albania ;Andorra ;Armenia ;Austria ;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;;Hungary ;Iceland ;Ireland;Italy ;Kosovo ;Latvia ;Liechtenstein ;Lithuania ;Luxembourg ;Macedonia (FYROM) ;Malta ;Moldova ;Monaco ;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia;San Marino ;Serbia ;Slovakia ;Slovenia ;Spain;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom (and associates);;Argentina ;;;Belize;Bolivia;Brazil;Costa Rica ;;Colombia ;Cuba ;;Dominican Republic ;Ecuador ;El Salvador ;;Guatemala ;;Haiti ;Honduras ;;Mexico ;Nicaragua ;Panama ;;Peru ;;;;;;Uruguay ;Venezuela;;United States;Australia;;Fiji ;;Marshall Islands;Micronesia;New Zealand ;Nauru;Palau ;;;;;;Vanuatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unequal;;;Benin;;;;;;;Chad;;Congo;Côte d'Ivoire;;;;;;;Gabon;;;;;;;;;Madagascar;;;;;;;;Niger;;Rwanda;;;;;;;;;;;;;;;;;Bahrain;;;;;;;;;Indonesia (most);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Greece ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bahamas ;;;;;;Chile ;;;;;;;;;;;;;;;;Paraguay;;;;;Suriname ;;;;Canada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Illegal;Male;Algeria;Angola;;Botswana;;Burundi;Cameroon;;;;Comoros;;;;;Egypt;;Eritrea;Ethiopia;;Gambia;Ghana;Guinea;;Kenya;;Liberia;Libya;;Malawi;;Mauritania;Mauritius;Morocco;;Namibia;;Nigeria;;;Senegal;;Sierra Leone;Somalia;;South Sudan;Sudan;Swaziland;Tanzania;Togo;Tunisia;Uganda;Zambia;Zimbabwe;Afghanistan;;Bangladesh;Bhutan;Brunei Darussalam;;;;Gaza (in the Occupied Palestinian Territory);India;;South Sumatra and Aceh Provinces (Indonesia);Iraq;Iran;;;;;Kuwait;;;Lebanon;Malaysia;Maldives;;Myanmar;;;Oman;Pakistan;;Qatar;Saudi Arabia;Singapore;;Sri Lanka;Syria;;;;Turkmenistan;;United Arab Emirates;Uzbekistan;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Antigua and Barbuda;;;Barbados;;;;;;;;Dominica;;;;Grenada;;Guyana;;;Jamaica;;;;;;St Kitts & Nevis;St Lucia;St Vincent & the Grenadines;;Trinidad and Tobago;;;;;;Cook Islands (associates to New Zealand);;Kiribati;;;;;;Papua New Guinea;Samoa;Solomon Islands;Tonga;Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Female;Algeria;Angola;;Botswana;;Burundi;Cameroon;;;;Comoros;;;;;Egypt;;Eritrea;Ethiopia;;Gambia;;Guinea;;;;Liberia;Libya;;Malawi;;Mauritania;;Morocco;;;;Nigeria;;;Senegal;;;Somalia;;South Sudan;Sudan;;;;Tunisia;Uganda;Zambia;;Afghanistan;;;Bhutan;;;;;;;;South Sumatra and Aceh Provinces (Indonesia);Iraq;Iran;;;;;;;;;Malaysia;Maldives;;;;;Oman;;;Qatar;Saudi Arabia;;;Sri Lanka;Syria;;;;;;United Arab Emirates;;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Antigua and Barbuda;;;Barbados;;;;;;;;Dominica;;;;;;;;;;;;;;;;St Lucia;St Vincent & the Grenadines;;Trinidad and Tobago;;;;;;;;Kiribati;;;;;;;;Solomon Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Penalising text;Sexual act;Algeria;;;;;Burundi;Cameroon;;;;;;;;;;;Eritrea;Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;Somalia;;;;;;;;;;;Afghanistan;;;;;;;;Gaza (in the Occupied Palestinian Territory);;;;;;;;;;Kuwait;;;;;Maldives;;;;;Oman;;;;Saudi Arabia;;;;;;;;Turkmenistan;;;Uzbekistan;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sodomy;;;;;;;;;;;;;;;;;;;;;;;;;;;Liberia;;;;;;Mauritius;Morocco;;Namibia;;;;;;;;;;;Sudan;Swaziland;;;;;Zambia;;;;;;;;;;;;;;;Iran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cook Islands (associates to New Zealand);;;;;;;;;Samoa;;Tonga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Against nature;;Angola;;Botswana;;;;;;;Comoros;;;;;;;;;;Gambia;Ghana;Guinea;;Kenya;;;Libya;;Malawi;;Mauritania;;;;;;Nigeria;;;Senegal;;;;;South Sudan;;;Tanzania;Togo;Tunisia;Uganda;;Zimbabwe;;;Bangladesh;Bhutan;Brunei Darussalam;;;;;India;;;;;;;;;;;;Lebanon;Malaysia;;;Myanmar;;;;Pakistan;;;;;;Sri Lanka;Syria;;;;;;United Arab Emirates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grenada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Papua New Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
